//flowchart LR fix

painting:EXAMPLE-0001	isa	E22 Man-Made Object	object|type
painting:EXAMPLE-0001	rdfs:comment	"A painted altarpiece, associated with religious practice. Originally created for a specific location."@en	|note
painting:EXAMPLE-0001	P108 was produced by	production:EXAMPLE-0001	|event
production:EXAMPLE-0001	isa	E12 Production	|type

painting:EXAMPLE-0001	P46 forms part of	collection:EXAMPLE-0001	|object
collection:EXAMPLE-0001	isa	E78 Curated Holding	|type
collection:EXAMPLE-0001	rdfs:label	"Example Collection"@en	|name

painting:EXAMPLE-0001	P102 has title	title:EXAMPLE-0001	|name
title:EXAMPLE-0001	isa	E35 Title	|type
title:EXAMPLE-0001	rdfs:label	"Example Altarpiece"@en	|name
title:EXAMPLE-0001	P2 has type	aat:300417208	|type
aat:300417208	rdfs:label	"brief titles"@en	|name

painting:EXAMPLE-0001	P48 has preferred identifier	id:EXAMPLE-0001	|object
id:EXAMPLE-0001	isa	E42 Identifier	|type
id:EXAMPLE-0001	rdfs:label	"ABC123"@en	|name
id:EXAMPLE-0001	P2 has type	aat:300312355	|type
aat:300312355	rdfs:label	"accession numbers"@en	|name

painting:EXAMPLE-0001	P70 is documented in	doc:EXAMPLE-0001	|document
doc:EXAMPLE-0001	isa	E31 Document	|type
doc:EXAMPLE-0001	rdfs:comment	"Linked to external reports or legacy documentation."	|note
doc:EXAMPLE-0001	rdfs:label	"Example Publication"@en	|name
doc:EXAMPLE-0001	rdfs:seeAlso	https://example.org/docs/painting-info.pdf	|url

painting:EXAMPLE-0001	P43 has dimension	dim:EXAMPLE-width	|dims
dim:EXAMPLE-width	P2 has type	aat:300055647	|type
aat:300055647	rdfs:label	"width"@en	|name
dim:EXAMPLE-width	P90 has value	100.0	|literal
dim:EXAMPLE-width	P91 has unit	aat:300379098	|type
aat:300379098	rdfs:label	"centimeters"@en	|name

painting:EXAMPLE-0001	P43 has dimension	dim:EXAMPLE-height	|dims
dim:EXAMPLE-height	P2 has type	aat:300055644	|type
aat:300055644	rdfs:label	"height"@en	|name
dim:EXAMPLE-height	P90 has value	150.0	|literal
dim:EXAMPLE-height	P91 has unit	aat:300379098	|type

painting:EXAMPLE-0001	P46 is composed of	mat:EXAMPLE-medium	|object
mat:EXAMPLE-medium	P2 has type	aat:300163343	|type
aat:300163343	rdfs:label	"media (artists' materials)"@en	|name
mat:EXAMPLE-medium	P45 consists of	aat:300015050	|type
aat:300015050	rdfs:label	"medium: oil paint (paint)"@en	|name

painting:EXAMPLE-0001	P46 is composed of	mat:EXAMPLE-support	|object
mat:EXAMPLE-support	P2 has type	aat:300014844	|type
aat:300014844	rdfs:label	"supports (artists' materials)"@en	|name
mat:EXAMPLE-support	P45 consists of	aat:300012363	|type
aat:300012363	rdfs:label	"support: poplar (wood)"@en	|name

painting:EXAMPLE-0001	P2 has type	aat:300033799	|type
aat:300033799	rdfs:label	"oil painting: (visual works)"@en	|name
painting:EXAMPLE-0001	P2 has type	aat:300234093	|type
aat:300234093	rdfs:label	"religious visual works"@en	|name
painting:EXAMPLE-0001	P2 has type	aat:300033656	|type
aat:300033656	rdfs:label	"panel painting: (painting: by form)"@en	|name

painting:EXAMPLE-0001	P12 was present at	event:EXAMPLE-0001	|event
event:EXAMPLE-0001	isa	E5 Event	|type
event:EXAMPLE-0001	rdfs:label	"Subsequent Event (e.g. exhibition, restoration)"@en	|name

